disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
4036,Closed,2019-10-10T04:00:00.000Z,435555,98442.04,21778,0,55378.45,21285.59,0,0,aaa3aa7f61f2931f822a1d7820c28caa,2020-01-09T15:07:39.486Z,5d1fafd987fac86ceb885541
1978,Closed,2017-11-27T05:00:00.000Z,1289735,1186863,0,0,1131530,55333,0,0,c28fcf7f04511dd12c4b7e3d21a3d2bf,2020-01-09T15:07:39.626Z,5d1fafd987fac86ceb885542
1288,Closed,2008-03-06T05:00:00.000Z,1422187,1359545,0,0,1233737,67648,19260,38900,45cfa5cbbe48b742addf6745aea2bde1,2020-01-09T15:07:39.452Z,5d1fafd987fac86ceb885543
1828,Closed,2017-09-22T04:00:00.000Z,1676481,929579,0,60250,787608,81721,0,0,2bac190a7c578ea617775dbf23caad93,2020-01-09T15:07:39.630Z,5d1fafd987fac86ceb885544
947,Closed,2006-02-21T05:00:00.000Z,1017375,1080684,0,0,1014046,0,21591,45047,b485c35e9fa48183d17ee7946027fb3b,2020-01-09T15:07:39.411Z,5d1fafd987fac86ceb885545
826,Closed,1997-08-26T04:00:00.000Z,258547,277307,0,0,258547,0,6418,12342,d145b53dda2170179726ab88972bd2f2,2020-01-09T15:07:39.464Z,5d1fafd987fac86ceb885546
4228,Closed,2020-02-12T05:00:00.000Z,1216154,1066415.11,0,0,1006945.11,59470,0,0,ce175dee799f58e0af5fd0e007c49329,2020-02-13T20:31:48.502Z,5d1fafd987fac86ceb885547
1858,Closed,2018-09-21T04:00:00.000Z,33786725,27764486,109016,1651505,24351794,1652171,0,0,aaf858e4553091e996136ad10c5a2fe9,2020-01-09T15:07:40.138Z,5d1fafd987fac86ceb885548
1796,Closed,2016-02-25T05:00:00.000Z,2340984,1787687,5256,34069,1669615,78747,0,0,24c3a53c4f4cc70d9b95dc539f507283,2020-01-09T15:07:39.553Z,5d1fafd987fac86ceb885549
1701,Closed,2015-09-24T04:00:00.000Z,1364794,439600,14570,0,412994,0,203,11833,14b665d5df447384e43034304588d9f6,2020-01-09T15:07:39.064Z,5d1fafd987fac86ceb88554a
1645,Closed,2012-10-22T04:00:00.000Z,522260,373069,5689,29621,309924,10715,4841,12279,3f8b5f3e0e0b975f21d668c5393a1af3,2020-01-09T15:07:39.505Z,5d1fafd987fac86ceb88554b
4031,Open,,39347912,35762509.48,2585000,750000,30798985.48,1628524,0,0,9e43e3f3239f5747e9cb17a7baaaedec,2020-07-15T16:33:28.987Z,5d1fafd987fac86ceb88554c
1970,Closed,2019-03-26T04:00:00.000Z,1040608,883701.35,21235,46321,779003.48,37141.87,0,0,db877169c5293dca2eb662c580bfc11b,2020-01-09T15:07:39.506Z,5d1fafd987fac86ceb88554d
1431,Closed,2003-10-10T04:00:00.000Z,147350,157886,0,0,147350,0,4076,6460,476e1fc71a71c976f66dcc40df61cb87,2020-01-09T15:07:39.388Z,5d1fafd987fac86ceb88554e
1364,Closed,2009-04-14T04:00:00.000Z,1562356,1615134,6321,57788,1247382,238603,20496,44544,73500db051c40a911263c3b5647c2d41,2020-01-09T15:07:39.604Z,5d1fafd987fac86ceb88554f
4046,Open,,12773052,11155616.04,363232.6,712800,9454981.44,624602,0,0,0f6c0466ffb0dfce33b3e796c0d5cd3a,2020-02-04T21:01:31.818Z,5d1fafd987fac86ceb885550
1997,Closed,2019-12-06T05:00:00.000Z,2212313,1807320,105159,124753,1469492,107916,0,0,30969234e744b5b6849cac529c637b75,2020-01-09T15:07:39.623Z,5d1fafd987fac86ceb885551
1644,Closed,2011-03-02T05:00:00.000Z,362064,85895,0,0,82425,0,272,3198,35958094a99b2818d0d2abdd4012805a,2020-01-09T15:07:39.568Z,5d1fafd987fac86ceb885552
4033,Closed,2018-09-21T04:00:00.000Z,1555988,617221,0,0,563743,53478,0,0,073c1d6a8beee43a7c9aba80cd734cfe,2020-01-09T15:07:39.553Z,5d1fafd987fac86ceb885553
1971,Open,,74009510,71893494.25,6182377,1221695,60870357.25,3619065,0,0,f05d7687e9e5eb73b31393f1c1fc06ce,2020-07-23T16:33:32.549Z,5d1fafd987fac86ceb885554
1047,Closed,2005-05-26T04:00:00.000Z,375120,393509,18756,0,353353,0,8696,12704,016319895b636df19f1620a127510bf2,2020-01-09T15:07:39.543Z,5d1fafd987fac86ceb885555
1643,Closed,2013-06-07T04:00:00.000Z,1666844,1662883,5933,0,1575883,0,27699,53368,5d21eac74342b78f911d5a6c2d459a13,2020-01-09T15:07:39.441Z,5d1fafd987fac86ceb885556
4032,Closed,2016-03-01T05:00:00.000Z,297418,300596,0,0,297416,3180,0,0,786dfb0529b777371814bf4b60e8645d,2020-01-09T15:07:39.573Z,5d1fafd987fac86ceb885557
