disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
1380,Closed,2015-12-22T05:00:00.000Z,15402663,14135775,0,0,13755257,0,69095,311423,610412498e0ce499df855502be71bac2,2020-01-09T15:07:39.024Z,5d1fafd887fac86ceb88532f
1637,Closed,2012-10-26T04:00:00.000Z,244990,127894,0,0,116200,4289,3134,4271,dd8a28d0495c4546a1c02ceb5f27d9b6,2020-01-09T15:07:39.549Z,5d1fafd887fac86ceb885330
4053,Closed,2017-06-05T04:00:00.000Z,421008,441205,21000,0,399758,20447,0,0,010f5d09fe16a80d35ce7bf2eaf3feb1,2020-01-09T15:07:40.150Z,5d1fafd887fac86ceb885331
1842,Closed,2019-05-28T04:00:00.000Z,2009776,881798,0,0,783520,98278,0,0,574f30f7928ebe5668cce1eaf91057d4,2020-01-09T15:07:39.036Z,5d1fafd887fac86ceb885332
1554,Closed,2011-04-04T04:00:00.000Z,1321742,892147,132172,0,686579,40434,9880,23082,a9a044677f857c3e3833930a64f7784c,2020-01-09T15:07:39.391Z,5d1fafd887fac86ceb885333
1340,Closed,2005-08-24T04:00:00.000Z,290766,311009,7559,0,258607,24600,7079,13164,ab8a9652a56012c54881d7ae1424a8c0,2020-01-09T15:07:39.472Z,5d1fafd887fac86ceb885334
1382,Closed,2004-06-24T04:00:00.000Z,248997,0,0,0,0,0,0,0,a7fe833ef4801faf2933cdddbbce8808,2020-01-09T15:07:39.056Z,5d1fafd887fac86ceb885335
1082,Closed,1996-01-12T05:00:00.000Z,0,0,0,0,0,0,0,0,cd7352171e521058b9e3348a2e62c3d1,2020-01-09T15:07:39.527Z,5d1fafd887fac86ceb885336
1925,Open,,4118251,3165594.45,276899,0,2687313.45,201382,0,0,ae321ce44bd548bc472006f09de2fdec,2020-01-09T15:07:39.621Z,5d1fafd887fac86ceb885337
1965,Closed,2017-11-27T05:00:00.000Z,1157602,1210847,0,0,1154763,56084,0,0,8eb378eb71d394e471bb6f34f53c9c80,2020-01-09T15:07:39.059Z,5d1fafd887fac86ceb885338
1264,Closed,2003-05-30T04:00:00.000Z,920250,915473,0,0,870625,0,18931,25917,52ba8e1960cb6646b8e386daae66eeee,2020-01-09T15:07:39.425Z,5d1fafd887fac86ceb885339
1655,Closed,2011-06-27T04:00:00.000Z,412192,307609,18348,0,279500,0,1087,8674,50b249d62e0d10341397de3b724a7f45,2020-01-09T15:07:39.493Z,5d1fafd887fac86ceb88533a
857,Closed,2001-12-11T05:00:00.000Z,750805,796538,0,0,750805,0,16599,29134,7990fa06c8ff31d237a76867095526d1,2020-01-09T15:07:39.448Z,5d1fafd887fac86ceb88533b
1844,Closed,2015-03-19T04:00:00.000Z,789626,793594,0,55274,699707,38613,0,0,d59605725aaa386d271b436eb800afdd,2020-01-09T15:07:39.015Z,5d1fafd887fac86ceb88533c
1551,Closed,2020-06-11T04:00:00.000Z,84817722,80168489.91,7720879,5917326,61596371.5,3764933.52,336527.07,832452.82,19857e1ce49e3bfbc9dbbdcbda7bfd85,2020-06-11T16:33:52.688Z,5d1fafd887fac86ceb88533d
1595,Closed,2016-07-25T04:00:00.000Z,13510549,11497847,486034,152250,9405694,1278905,39323,135641,6cb39943a5698d0a60d8c7184536cb4d,2020-01-09T15:07:39.587Z,5d1fafd887fac86ceb88533e
4164,Closed,2020-05-08T04:00:00.000Z,567077,450107.2,18562.5,0,403814.7,27730,0,0,0e2fd592e650f8554596b6ae904c101b,2020-07-08T16:32:36.340Z,5d1fafd887fac86ceb88533f
1905,Closed,2017-09-29T04:00:00.000Z,6215625,3401021,247248,251125,2598709,303939,0,0,7cd9be4bcf4d5606cc7150140f264739,2020-01-09T15:07:39.031Z,5d1fafd887fac86ceb885340
1193,Closed,2005-11-29T05:00:00.000Z,15750037,13665102,0,0,13083666,277896,103806,199734,3a01cd6f4c1dbb11a3f63b0cf119058b,2020-01-09T15:07:39.443Z,5d1fafd887fac86ceb885341
1833,Closed,2015-12-29T05:00:00.000Z,5488365,5450849,440759,309856,4431853,268381,0,0,468c52ad946db26e6edf5135f534aed9,2020-01-09T15:07:39.071Z,5d1fafd887fac86ceb885342
1194,Closed,2002-04-18T04:00:00.000Z,748524,665630,0,0,550508,88081,14031,13010,4c8927728e3138a4565a0e0eff8c960d,2020-01-09T15:07:39.575Z,5d1fafd887fac86ceb885343
4066,Closed,2019-06-12T04:00:00.000Z,122498,78963.67,0,0,78099.91,863.76,0,0,5358bc8abb3d009815ec97dcdb3f06f9,2020-01-09T15:07:40.155Z,5d1fafd887fac86ceb885344
1081,Closed,1996-01-11T05:00:00.000Z,0,0,0,0,0,0,0,0,77235933d58e942866eef0fa2b77e5cf,2020-01-09T15:07:39.073Z,5d1fafd887fac86ceb885345
4051,Open,,10776528,9238098.61,54789,176550.62,8479803.99,526955,0,0,74230ac57cee9374da7efba1cecee2a0,2020-01-09T15:07:40.150Z,5d1fafd887fac86ceb885346
1188,Closed,2008-04-01T04:00:00.000Z,10156932,8720293,328021,0,7841469,330711,54224,165868,2bea77a5c864ed38eca5a0926280e43c,2020-01-09T15:07:39.501Z,5d1fafd887fac86ceb885347
1423,Closed,2008-03-25T04:00:00.000Z,542393,316082,11105,0,244417,52416,6279,1865,3b5743aac3263e7b1b24a5f8cfc1ca2a,2020-01-09T15:07:39.572Z,5d1fafd887fac86ceb885348
1030,Closed,2001-11-30T05:00:00.000Z,333194,351088,0,0,333194,0,7864,10030,1c4db73d4dd62993ec7a63344092ec1a,2020-01-09T15:07:39.573Z,5d1fafd887fac86ceb885349
1239,Closed,2004-02-13T05:00:00.000Z,4380306,3887494,0,0,3748104,29933,48483,60974,84427ac35a87d222c1af3387392eb677,2020-01-09T15:07:39.624Z,5d1fafd887fac86ceb88534a
1941,Closed,2018-09-14T04:00:00.000Z,4222540,996035,139244,238287,412022,206482,0,0,a0be8bcd05223f5a3f27c0b2e24001d1,2020-01-09T15:07:39.037Z,5d1fafd887fac86ceb88534b
871,Open,,424143,451951,0,0,424143,0,9842,17966,0849f3faccc8b2bb57949e1b08323931,2020-01-09T15:07:39.085Z,5d1fafd887fac86ceb88534c
1055,Closed,2002-12-23T05:00:00.000Z,1260900,910486,109788,0,730579,24000,18833,27286,fbfd1ac419fafb8d729dc1a60ff5fe78,2020-01-09T15:07:39.056Z,5d1fafd887fac86ceb88534d
1361,Closed,2011-05-18T04:00:00.000Z,19591125,18838111,441371,939056,16210604,753947,64852,428281,01df1e31595b5b7eaf88d01faa9f5f57,2020-01-09T15:07:39.609Z,5d1fafd887fac86ceb88534e
4054,Closed,2017-07-06T04:00:00.000Z,204099,182646,0,0,172666,9980,0,0,a205b5f5b4f2d167b1f33daf6a982d3b,2020-01-09T15:07:40.149Z,5d1fafd887fac86ceb88534f
1558,Closed,2010-09-08T04:00:00.000Z,3239289,2245014,0,0,2198001,0,7166,39847,6c39d3055a0d203b5d44ed913996c34e,2020-01-09T15:07:39.396Z,5d1fafd887fac86ceb885350
1383,Closed,2005-12-15T05:00:00.000Z,1739449,1800672,0,0,1737782,0,28720,34170,23236fd967ca0a6926d512c69d28ed56,2020-01-09T15:07:39.522Z,5d1fafd887fac86ceb885351
1553,Closed,2012-04-03T04:00:00.000Z,3119700,924963,0,0,790885,109924,13634,10520,d8c5d1903f6e091dc68169182722d130,2020-01-09T15:07:39.063Z,5d1fafd887fac86ceb885352
4350,Open,,1495789,360312.03,48750,0,174041.25,137520.78,0,0,8697e3d13ee92864815198650afb61db,2020-05-14T17:03:04.945Z,5d1fafd887fac86ceb885353
1943,Closed,2018-07-31T04:00:00.000Z,2715957,974818,0,0,842008,132810,0,0,dd73e35ca8203f452f239085d76818da,2020-01-09T15:07:39.619Z,5d1fafd887fac86ceb885354
1347,Closed,2009-05-28T04:00:00.000Z,1305047,1343739,24020,0,1228021,31062,23664,36972,fc57b2e94ee52065ca201a8d17e12b23,2020-01-09T15:07:39.477Z,5d1fafd887fac86ceb885355
1310,Closed,2008-05-28T04:00:00.000Z,948695,250405,71576,0,105738,60615,5794,6682,a3f4ca2338ca3b9150a1ca8838fa8b2e,2020-01-09T15:07:39.519Z,5d1fafd887fac86ceb885356
1459,Closed,2011-05-16T04:00:00.000Z,1662333,815503,0,31695,724426,20222,16574,22586,f35bc35596f5e803d48e745b9ce07f1c,2020-01-09T15:07:39.480Z,5d1fafd887fac86ceb885357
4360,Open,,13763851,12773049.25,0,795180,10501435.25,755512,0,0,ce2d223fe8fa26b1872fa729c9132008,2020-05-07T17:01:11.805Z,5d1fafd887fac86ceb885358
1189,Closed,2002-02-20T05:00:00.000Z,358416,108279,0,0,101469,0,3104,3706,dd0260f51277fc6a691a52acc60721f3,2020-01-09T15:07:39.564Z,5d1fafd887fac86ceb885359
1926,Closed,2018-10-02T04:00:00.000Z,519834,541078.83,21319,28000,466714,25045.83,0,0,623d0f5597988edda776122910412705,2020-01-09T15:07:39.030Z,5d1fafd887fac86ceb88535a
4067,Closed,2018-09-28T04:00:00.000Z,785461,475368.08,0,0,470079,5289.08,0,0,622e18baa731ea0d219a29fa15b3ad07,2020-01-09T15:07:40.156Z,5d1fafd887fac86ceb88535b
1089,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,8b37009c4b291238ec003d902bf14f60,2020-01-09T15:07:39.049Z,5d1fafd887fac86ceb88535c
1414,Closed,2012-05-30T04:00:00.000Z,2099590,2027706,103947,124805,1621500,105101,29863,42490,99f297379a32db5edf8504d727c3d78a,2020-01-09T15:07:39.527Z,5d1fafd887fac86ceb88535d
1088,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,47fc2f61cf26ea3d62a5e5a0209856b3,2020-01-09T15:07:39.449Z,5d1fafd887fac86ceb88535e
4003,Closed,2015-12-17T05:00:00.000Z,1293026,1231142,0,87750,1091722,51670,0,0,e9bfb00b82622ba67632dab469d8ae2e,2020-01-09T15:07:39.395Z,5d1fafd887fac86ceb88535f
1958,Closed,2017-04-20T04:00:00.000Z,2070010,2168421,0,48750,2018448,101223,0,0,33404666507f3ce295dffab900a04449,2020-01-09T15:07:39.404Z,5d1fafd887fac86ceb885360
1083,Closed,1996-01-12T05:00:00.000Z,0,0,0,0,0,0,0,0,39ebbc6516792178e42b2b4bcddc5a1a,2020-01-09T15:07:39.052Z,5d1fafd887fac86ceb885361
858,Closed,2003-12-11T05:00:00.000Z,126413,66710,0,0,61425,0,1943,3342,978c3ede0e00cef856b1c8be5102664b,2020-01-09T15:07:39.638Z,5d1fafd887fac86ceb885362
4050,Closed,2017-07-10T04:00:00.000Z,217491,227656,0,0,217021,10635,0,0,99c5be427c6b8403e238a08c6d671311,2020-01-09T15:07:40.150Z,5d1fafd887fac86ceb885363
1259,Closed,2001-11-06T05:00:00.000Z,1061398,1129100,106436,0,630210,324752,16093,51609,a5d93ecb752a1ae1532fa83315996038,2020-01-09T15:07:39.592Z,5d1fafd887fac86ceb885364
1402,Closed,2008-04-23T04:00:00.000Z,6785243,6185233,0,9098,6148568,0,1601,25966,04235e1f8331f585ae45b1940528b2b1,2020-01-09T15:07:39.545Z,5d1fafd887fac86ceb885365
1560,Closed,2011-07-12T04:00:00.000Z,1106259,1135905,109469,64870,819780,102010,13451,26325,3dfa3f037948e264d6331a08498681f6,2020-01-09T15:07:39.472Z,5d1fafd887fac86ceb885366
1830,Closed,2016-05-03T04:00:00.000Z,6204157,3063408,271889,296367,2194673,300479,0,0,344e78b8c1871c86526a82ad32509b8c,2020-01-09T15:07:39.054Z,5d1fafd887fac86ceb885367
1306,Closed,2010-10-21T04:00:00.000Z,25867081,21423043,2483388,0,17674246,952942,142405,170062,9fd3097d20e1f585b43c914df4e58af2,2020-01-09T15:07:39.516Z,5d1fafd887fac86ceb885368
868,Closed,2004-03-03T05:00:00.000Z,574501,610339,0,0,550409,24092,12948,22890,186e5d070c7f22cbd3a99d736062d28f,2020-01-09T15:07:39.428Z,5d1fafd887fac86ceb885369
4073,Open,,437143,102842.93,16806.93,0,64807.48,21228.52,0,0,f764e98f2adfcea0f03c44c0e27e13af,2020-01-09T15:07:40.159Z,5d1fafd887fac86ceb88536a
948,Closed,1999-02-01T05:00:00.000Z,86625,74988,0,0,68683,0,2184,4121,64571d423aa19ad16288319674bf776a,2020-01-09T15:07:39.490Z,5d1fafd887fac86ceb88536b
1913,Closed,2016-05-31T04:00:00.000Z,425111,402888,0,0,402010,878,0,0,89dfc56c4f2b261218829b88f87ee087,2020-01-09T15:07:39.562Z,5d1fafd887fac86ceb88536c
1848,Closed,2014-08-19T04:00:00.000Z,2269688,2065029,68332,25674,1938403,32620,0,0,2db2eae2424d0bda79eabf88f5aeeffe,2020-01-09T15:07:39.606Z,5d1fafd887fac86ceb88536d
1989,Closed,2018-09-12T04:00:00.000Z,1636141,1653744.81,64900,68820,1474650,45374.81,0,0,c13cb4edca7b1cf18a4d100575e5ea06,2020-01-09T15:07:39.574Z,5d1fafd887fac86ceb88536e
1378,Closed,2009-01-29T05:00:00.000Z,12356664,11061441,263904,772343,9645970,0,93875,285349,ac79657565867130b5e54deb9c6af527,2020-01-09T15:07:39.459Z,5d1fafd887fac86ceb88536f
4076,Closed,2018-05-01T04:00:00.000Z,1578803,1577249,74324,83855,1355375,63695,0,0,7f19e587c9faac6c103638906b9d324c,2020-01-09T15:07:40.159Z,5d1fafd887fac86ceb885370
1611,Closed,2015-01-15T05:00:00.000Z,80756,68814,0,0,51418,14264,1589,1543,51046eea1bdd7804a40c293e2c7dc669,2020-01-09T15:07:39.557Z,5d1fafd887fac86ceb885371
1855,Closed,2018-02-01T05:00:00.000Z,7335686,4072594,289720,140944,3418753,223177,0,0,e268e542e1ace3bad9d1b79c2c44a964,2020-01-09T15:07:39.475Z,5d1fafd887fac86ceb885372
1311,Closed,2006-12-11T05:00:00.000Z,5376918,5289650,0,363672,4653368,97613,62138,112859,03e10a6e7afe7d42bbd20bfb5963389a,2020-01-09T15:07:39.570Z,5d1fafd887fac86ceb885373
914,Closed,1998-07-29T04:00:00.000Z,653291,698441,0,0,651881,0,14675,31885,cc143f855a5b8a0135bd71e32ff0283f,2020-01-09T15:07:39.422Z,5d1fafd887fac86ceb885374
4061,Closed,2015-12-08T05:00:00.000Z,976180,569670,0,0,569670,0,0,0,72e3452285dfbee32f51c7249054a5fb,2020-01-09T15:07:40.152Z,5d1fafd887fac86ceb885375
4065,Closed,2018-06-06T04:00:00.000Z,486560,319205,0,0,302015,17190,0,0,4380c85f49fbe07acce620630e9231c5,2020-01-09T15:07:40.158Z,5d1fafd887fac86ceb885376
1086,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,258b38f34319be9d3699b6c0b26e3d08,2020-01-09T15:07:39.039Z,5d1fafd887fac86ceb885377
4375,Open,,1057540,227855.75,32116.5,0,188446.25,7293,0,0,3ab85767e0aab52d4b894b155ca9d326,2020-01-09T15:07:39.606Z,5d1fafd887fac86ceb885378
1257,Closed,2011-05-05T04:00:00.000Z,19497771,18906913,0,0,18395498,80460,129061,301894,879756ee5c7b10625be5fa17f38b6392,2020-01-09T15:07:39.027Z,5d1fafd887fac86ceb885379
1321,Closed,2006-09-12T04:00:00.000Z,297310,316618,0,0,277198,20112,6743,12565,41b5ad60324bbfbc3be65f1b5afd7240,2020-01-09T15:07:39.404Z,5d1fafd887fac86ceb88537a
4052,Closed,2017-12-07T05:00:00.000Z,146617,146221,0,0,146221,0,0,0,fe3b3d632a4cee2ec9306f847fe1f534,2020-01-09T15:07:40.151Z,5d1fafd887fac86ceb88537b
1594,Closed,2009-12-08T05:00:00.000Z,271547,181466,0,0,171357,0,4539,5570,791b11f768aa80d2e1b5cdeb8a8cb2c2,2020-01-09T15:07:39.547Z,5d1fafd887fac86ceb88537c
1907,Closed,2014-05-21T04:00:00.000Z,3881250,58901,56253,0,0,2648,0,0,2ac0d1589b3478a837270775d99a6545,2020-01-09T15:07:39.413Z,5d1fafd887fac86ceb88537d
4387,Open,,399472,65005,12534,6375,40875,5221,0,0,bc47510be7e3a0ff5f7b8dbdd802403a,2020-01-09T15:07:39.014Z,5d1fafd887fac86ceb88537e
1350,Closed,2011-09-29T04:00:00.000Z,284005,300092,0,0,259405,24600,6382,9705,40aab998122aaf9e563e438dd0d441eb,2020-01-09T15:07:39.412Z,5d1fafd887fac86ceb88537f
1265,Closed,2009-05-15T04:00:00.000Z,1599158,1319820,106250,0,1155030,0,23959,34581,26eacb453eeb04b0de6d56d191bf0ab0,2020-01-09T15:07:39.392Z,5d1fafd887fac86ceb885380
1856,Closed,2015-07-23T04:00:00.000Z,368166,185505,0,25352,142150,18003,0,0,eb889bc2b6a8715052a681333c2b081f,2020-01-09T15:07:39.481Z,5d1fafd887fac86ceb885381
4379,Open,,5332101,896846.5,0,204500,505312.5,169124,0,0,fc97c599f533e9f96a4843de92d0af72,2020-03-25T20:01:14.845Z,5d1fafd887fac86ceb885382
1110,Closed,2002-06-20T04:00:00.000Z,421005,444508,6500,0,414505,0,9696,13807,6b92267c09d6abb2af3092e1ec91e928,2020-01-09T15:07:39.464Z,5d1fafd887fac86ceb885383
1522,Closed,2010-04-16T04:00:00.000Z,2402081,2008314,0,0,1953025,0,29852,25437,8468eccd8e797dbab4552102a54b5a1b,2020-01-09T15:07:39.557Z,5d1fafd887fac86ceb885384
1461,Closed,2007-11-16T05:00:00.000Z,242065,203999,0,7474,169782,16390,4669,5684,6e1fa0566eb4fb8ef0aacc975397b0e3,2020-01-09T15:07:39.425Z,5d1fafd887fac86ceb885385
4063,Closed,2016-02-22T05:00:00.000Z,692472,726334,14251,0,678221,33862,0,0,ce92e5a6b20a269e121b648c12e7a6f2,2020-01-09T15:07:40.153Z,5d1fafd887fac86ceb885386
1647,Closed,2012-09-26T04:00:00.000Z,221756,160630,0,0,145774,5052,4031,5773,29b48acaa5be74532738c8dc75ecb676,2020-01-09T15:07:39.077Z,5d1fafd887fac86ceb885387
1277,Closed,2005-06-15T04:00:00.000Z,2460536,2449736,0,0,2233388,124597,35146,56605,3abf59fcd9213434eee895f90f4aaacf,2020-01-09T15:07:39.615Z,5d1fafd887fac86ceb885388
1258,Closed,2006-03-31T05:00:00.000Z,2594467,2546649,33406,0,2461343,0,5366,46534,47134e329e40de9a051da163cd46c59a,2020-01-09T15:07:39.590Z,5d1fafd887fac86ceb885389
903,Open,,0,0,0,0,0,0,0,0,5b280c93657cc327cd6f092589b3b8cc,2020-01-09T15:07:39.417Z,5d1fafd887fac86ceb88538a
1304,Closed,2005-08-16T04:00:00.000Z,463160,10446,10042,0,0,0,0,404,b362417d810631b70d7a8523ae903db7,2020-01-09T15:07:39.557Z,5d1fafd887fac86ceb88538b
1333,Closed,2010-08-15T04:00:00.000Z,4784611,4661056,0,0,4412764,70042,49865,128385,9c27e688e9a0ad8651d72c1b3e772a50,2020-01-09T15:07:39.630Z,5d1fafd887fac86ceb88538c
1572,Closed,2008-04-24T04:00:00.000Z,64108,8602,0,0,8030,0,251,321,0848645d76d86e3943973cfeb94f1754,2020-01-09T15:07:39.578Z,5d1fafd887fac86ceb88538d
835,Closed,1996-09-01T04:00:00.000Z,64397,33581,0,0,30758,0,978,1845,86add54ce5cd85468e62c953d5e12a3e,2020-01-09T15:07:39.564Z,5d1fafd887fac86ceb88538e
4077,Closed,2018-01-23T05:00:00.000Z,3353199,3299351,28495,125029,2981856,163971,0,0,e98fbe8784fbd1abce8e870756cccc40,2020-01-09T15:07:39.072Z,5d1fafd887fac86ceb88538f
1294,Closed,2005-11-30T05:00:00.000Z,4664145,4277685,216723,0,3907047,0,53244,100671,005028833818fbd90f3d627d6704d5d4,2020-01-09T15:07:39.390Z,5d1fafd887fac86ceb885390
1051,Closed,2007-04-24T04:00:00.000Z,495353,509063,3375,0,476723,1179,10962,16824,7705f68e8564a0dcd953a58e9b847044,2020-01-09T15:07:39.501Z,5d1fafd887fac86ceb885391
900,Closed,1997-02-01T05:00:00.000Z,193763,209532,0,0,193763,0,5089,10680,7fd76bb0666a59c3cbe24695bdb72b1d,2020-01-09T15:07:39.533Z,5d1fafd887fac86ceb885392
1363,Closed,2009-04-03T04:00:00.000Z,422206,431125,0,0,415819,1641,1576,12089,5450588469267517b31d6e7245edfc7d,2020-01-09T15:07:39.600Z,5d1fafd887fac86ceb885393
4392,Open,,748633,836912.84,40185.81,0,698674.65,97821.38,0,0,b7f139ba890ff5bbd06dc7d63320f1dd,2020-07-28T16:34:09.184Z,5d1fafd887fac86ceb885394
1213,Closed,2003-07-24T04:00:00.000Z,299125,264330,0,0,237604,11182,6163,9381,0527359280750db2152afe6201d50b96,2020-01-09T15:07:40.157Z,5d1fafd887fac86ceb885395
1756,Closed,2011-06-22T04:00:00.000Z,818900,10909,0,0,0,10909,0,0,5b551513c3aa39f84043b45b1724321b,2020-01-09T15:07:39.480Z,5d1fafd887fac86ceb885396
4354,Open,,1099566,53769,0,0,0,53769,0,0,24bbaf148091567adcc7a1fa7ca34e31,2020-01-09T15:07:39.074Z,5d1fafd887fac86ceb885397
4357,Open,,4201983,733000.5,29830.5,250290,0,452880,0,0,228353f2b7b5687386b2d8cbfa8ac8b0,2020-06-26T16:33:57.691Z,5d1fafd887fac86ceb885398
1169,Closed,2001-04-04T04:00:00.000Z,461396,96995,0,0,90750,0,2825,3420,70fac677330391733a7d6152aa5736f4,2020-01-09T15:07:39.422Z,5d1fafd887fac86ceb885399
1087,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,c56bec084a96651279b4392d7107c81e,2020-01-09T15:07:39.505Z,5d1fafd887fac86ceb88539a
1422,Closed,2009-08-19T04:00:00.000Z,917605,831698,86219,181108,390516,136395,14625,22835,5568dc0e5aca2c2d08419d16c98cf5c1,2020-01-09T15:07:39.394Z,5d1fafd887fac86ceb88539b
1262,Closed,2007-07-03T04:00:00.000Z,1499776,1494499,0,0,1404700,25582,25688,38529,894c779c2293ee36e2fbba178d875df9,2020-01-09T15:07:39.594Z,5d1fafd887fac86ceb88539c
1668,Closed,2010-01-18T05:00:00.000Z,2539771,0,0,0,0,0,0,0,278ccf8c3127ba9913361e502dc5f816,2020-01-09T15:07:39.499Z,5d1fafd887fac86ceb88539d
1279,Closed,2009-01-15T05:00:00.000Z,12558624,11742244,555854,0,10810657,49500,93690,232543,cd1b1ea5f3188103d3683c88ddceafbf,2020-01-09T15:07:39.075Z,5d1fafd887fac86ceb88539e
4336,Open,,4228662,410448,0,0,252500,157948,0,0,2395276da7640a5d939533ae507c4236,2020-01-09T15:07:39.053Z,5d1fafd887fac86ceb88539f
1091,Closed,1996-01-24T05:00:00.000Z,0,0,0,0,0,0,0,0,6b7e9c27f7b9dbe0db21c06645ab09c2,2020-01-09T15:07:39.586Z,5d1fafd887fac86ceb8853a0
4074,Closed,2017-09-24T04:00:00.000Z,227876,230763,9748,0,216482,4533,0,0,5ee2a4d112aaaaa6b4543628f082fa9d,2020-01-09T15:07:40.157Z,5d1fafd887fac86ceb8853a1
4362,Open,,6703141,721926,50700.75,441987,201686.25,27552,0,0,ed0b35787ec05928024bca370f3ccd0d,2020-06-19T16:32:43.912Z,5d1fafd887fac86ceb8853a2
1424,Closed,2003-09-20T04:00:00.000Z,207981,218396,0,0,177845,30136,4672,5743,0684ddecc011de6465dfa315282fb418,2020-01-09T15:07:39.564Z,5d1fafd887fac86ceb8853a3
1917,Closed,2019-03-06T05:00:00.000Z,2315849,2081508.77,94247,140071,1733945.77,113245,0,0,1bed90a88237c2a079bbfe5c6a42c2f5,2020-01-09T15:07:39.555Z,5d1fafd887fac86ceb8853a4
940,Closed,2001-06-13T04:00:00.000Z,251959,271266,0,0,251959,0,6299,13008,09a62b7c6644820115282c68256cfd4d,2020-01-09T15:07:39.511Z,5d1fafd887fac86ceb8853a5
950,Closed,1996-09-01T04:00:00.000Z,26350,28769,0,0,26350,0,838,1581,c2ae08584b48c9c86ba21295e2779a20,2020-01-09T15:07:39.507Z,5d1fafd887fac86ceb8853a6
1376,Closed,2010-05-05T04:00:00.000Z,3677898,3517976,129843,208432,3010984,41521,45311,81885,6853c52db33f6e93eca8355cc27edfde,2020-01-09T15:07:39.493Z,5d1fafd887fac86ceb8853a7
1060,Closed,2000-02-17T05:00:00.000Z,393000,415540,0,0,393000,0,9128,13412,d1caa8114fd1c2c58b70732422f67a64,2020-01-09T15:07:39.525Z,5d1fafd887fac86ceb8853a8
1421,Closed,2006-07-25T04:00:00.000Z,351144,55096,13906,0,29000,6956,1402,3832,59021dc52c81fc02a641b5e47e44c97f,2020-01-09T15:07:39.428Z,5d1fafd887fac86ceb8853a9
4057,Open,,5113904,3180368,382109,48703,2499486,250070,0,0,b3b8556bc90c67353f5f08169d3cffaa,2020-01-09T15:07:40.150Z,5d1fafd887fac86ceb8853aa
1372,Closed,2007-02-20T05:00:00.000Z,1800754,310644,68688,46501,178371,0,6689,10395,8a05415f74d4967c2ccc95e641063324,2020-01-09T15:07:39.485Z,5d1fafd887fac86ceb8853ab
1510,Closed,2009-10-28T04:00:00.000Z,757655,795890,27562,31870,698223,0,5164,33071,e4c67d3a089e186bb2eb1593a88d003e,2020-01-09T15:07:39.405Z,5d1fafd887fac86ceb8853ac
4059,Closed,2015-09-24T04:00:00.000Z,1663589,915156,0,0,915156,0,0,0,7b2911237c380978f2cc22cf9a2aefef,2020-01-09T15:07:40.152Z,5d1fafd887fac86ceb8853ad
892,Closed,1999-03-02T05:00:00.000Z,151499,13536,0,0,12398,0,394,744,cfbf3963c97689cc7a5d966921e62cf1,2020-01-09T15:07:39.426Z,5d1fafd887fac86ceb8853ae
1950,Closed,2017-10-16T04:00:00.000Z,71835,74844,3592,4776,62963,3513,0,0,91d68a74a05d8c16722e3bef95ea2737,2020-01-09T15:07:39.560Z,5d1fafd887fac86ceb8853af
1908,Closed,2019-07-03T04:00:00.000Z,1139895,931412,89241,0,786430,55741,0,0,df5e5090b60e72287c1514c47e1435dc,2020-01-09T15:07:39.604Z,5d1fafd887fac86ceb8853b0
1498,Closed,2013-06-18T04:00:00.000Z,9121106,7280835,341711,486530,5739293,499855,69557,143889,30429c866d94741930c459419f8490c6,2020-01-09T15:07:39.397Z,5d1fafd887fac86ceb8853b1
1196,Closed,2003-03-17T05:00:00.000Z,6544712,4770785,330211,0,3960317,290129,58127,132001,3341583545871044f91b96f10cbd3051,2020-01-09T15:07:39.416Z,5d1fafd887fac86ceb8853b2
4068,Open,,15604764,15619311.65,165085,716172,13974981.65,763073,0,0,5c1d5d295e1b521bac975f380aca63bc,2020-04-14T17:02:16.150Z,5d1fafd887fac86ceb8853b3
1036,Closed,1998-09-30T04:00:00.000Z,363685,382602,0,0,343685,20000,8482,10435,4084a02b58f0037b72a0f987f8873240,2020-01-09T15:07:39.049Z,5d1fafd887fac86ceb8853b4
4083,Closed,2019-05-24T04:00:00.000Z,724874,755105.98,0,50741,673992.26,30372.72,0,0,c3330949a20a5c29b9f6e0363a30b6fe,2020-01-09T15:07:40.160Z,5d1fafd887fac86ceb8853b5
1409,Closed,2006-09-26T04:00:00.000Z,946031,849287,77516,66001,662504,0,17633,25633,df2a8a6f695e16633d86d75f3b7cde7e,2020-01-09T15:07:39.603Z,5d1fafd887fac86ceb8853b6
1570,Closed,2009-04-22T04:00:00.000Z,222579,165776,9000,0,149890,0,3541,3345,119793d63bc0767bc3869e3118053888,2020-01-09T15:07:39.625Z,5d1fafd887fac86ceb8853b7
1002,Closed,2002-07-24T04:00:00.000Z,0,0,0,0,0,0,0,0,9fc2c9f7cddbdc3418b44bc2d8799aa8,2020-01-09T15:07:39.079Z,5d1fafd887fac86ceb8853b8
